latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,bright_t31,frp,type
-77.524826,167.163818,328.78,0.48,0.4,2012-03-22,914,N,n,240.61,11.02,2
-77.525787,167.166046,335.36,0.39,0.36,2012-03-22,1054,N,n,242.39,12.2,2
-77.528549,167.176239,324.2,0.47,0.4,2012-03-22,1235,N,n,237.31,5.1,2
-77.527176,167.153885,324.26,0.48,0.4,2012-03-23,715,N,n,237.02,3.43,2
-77.528099,167.170807,324.64,0.48,0.4,2012-03-23,715,N,n,238.12,3.43,2
-77.524612,167.167953,328.42,0.49,0.4,2012-03-23,855,N,n,240.39,6.86,2
-77.526642,167.171173,340.79,0.43,0.38,2012-03-23,1216,N,n,241.58,6.48,2
-77.527061,167.171341,343.76,0.46,0.39,2012-03-24,656,N,n,241.05,7.92,2
-77.527359,167.158035,322.89,0.5,0.41,2012-03-24,836,N,n,237.38,3.57,2
-77.527306,167.16243,320.91,0.49,0.4,2012-03-27,1241,N,n,242.24,2.47,2
-77.525391,167.165466,326.12,0.4,0.37,2012-03-28,1042,N,n,241.78,3.18,2
-77.527451,167.165588,330.93,0.44,0.38,2012-03-28,1222,N,n,248.89,10.06,2
-77.526878,167.179001,330.6,0.6,0.53,2012-03-28,1403,N,n,243.8,4.91,2
-77.529129,167.184372,321.36,0.6,0.53,2012-03-28,1403,N,n,242.03,3.92,2
-77.525742,167.178162,324.85,0.43,0.38,2012-03-31,625,N,n,238.95,3.33,2
-77.525314,167.164413,326.68,0.5,0.41,2012-03-31,805,N,n,239.86,4.16,2
-77.526718,167.176453,320.48,0.38,0.36,2012-03-31,1125,N,n,235.82,1.92,2
-77.525612,167.1716,328.08,0.41,0.37,2012-04-01,606,N,n,243.88,7.92,2
-77.525314,167.158264,326.1,0.49,0.41,2012-04-01,746,N,n,239.86,4.98,2
-77.525764,167.175919,328.04,0.49,0.41,2012-04-01,746,N,n,240.48,4.98,2
-77.524857,167.160217,326.55,0.47,0.39,2012-04-01,926,N,n,242.05,3.97,2
-77.526474,167.161026,340.53,0.39,0.36,2012-04-01,1107,N,n,241.35,6.1,2
-77.526016,167.173126,326.67,0.51,0.41,2012-04-01,1247,N,n,241.19,9.41,2
-77.52636,167.176224,329.42,0.51,0.41,2012-04-01,1247,N,n,240.33,7.48,2
-81.022194,138.858292,341.42,0.34,0.56,2012-04-01,1611,N,n,218.02,0.01,0
-77.52494,167.160553,327.2,0.48,0.4,2012-04-02,908,N,n,240.95,7.69,2
-77.527534,167.169159,324.7,0.39,0.37,2012-04-02,1048,N,n,237.68,5.52,2
-82.248459,141.857391,323.94,0.39,0.36,2012-04-02,1049,N,n,219.62,0.01,0
-77.525879,167.166306,331.53,0.45,0.39,2012-04-02,1228,N,n,238.16,3.73,2
-78.725777,8.147377,324.1,0.39,0.36,2012-04-02,2057,N,n,236.6,0.02,0
-77.525719,167.173981,324.06,0.39,0.36,2012-04-03,529,N,n,238.6,6.36,2
-77.526062,167.169144,328.27,0.47,0.4,2012-04-03,709,N,n,242.17,6.28,2
-77.527649,167.166946,325.23,0.41,0.37,2012-04-03,1029,N,n,239.89,6.57,2
-77.52729,167.173019,326.91,0.42,0.38,2012-04-03,1209,N,n,241.29,6.24,2
-77.528053,167.172302,322.17,0.54,0.51,2012-04-03,1350,N,n,237.44,5.03,2
-77.527214,167.172546,326.12,0.38,0.36,2012-04-04,510,N,n,239.42,7.6,2
-77.526054,167.16774,328.6,0.45,0.39,2012-04-04,650,N,n,242.65,9.93,2
-77.524963,167.172104,325.44,0.5,0.41,2012-04-04,830,N,n,235.59,5.78,2
-77.525703,167.165726,330.2,0.5,0.41,2012-04-04,830,N,n,238.87,6.16,2
-77.527985,167.169266,322.88,0.43,0.38,2012-04-04,1010,N,n,232.79,3.26,2
-77.524597,167.160812,321.58,0.43,0.38,2012-04-04,1010,N,n,236.2,3.26,2
-77.524971,167.170593,330.27,0.4,0.37,2012-04-04,1151,N,n,236.14,3.99,2
-77.524544,167.160751,324.05,0.46,0.47,2012-04-04,1331,N,n,230.45,4.45,2
-77.528671,167.170578,323.89,0.44,0.38,2012-04-05,631,N,n,239.63,3.18,2
-77.525116,167.178482,320.35,0.44,0.38,2012-04-05,631,N,n,237.46,3.93,2
-77.527977,167.170471,324.33,0.5,0.41,2012-04-05,811,N,n,238.45,4.35,2
-77.523964,167.165863,323.99,0.44,0.39,2012-04-05,951,N,n,240.64,6.01,2
-77.525124,167.165497,325.28,0.39,0.36,2012-04-05,1132,N,n,244.86,11.32,2
-77.5271,167.160629,322.73,0.4,0.44,2012-04-05,1312,N,n,234.31,4.7,2
-77.528259,167.177963,326.81,0.4,0.44,2012-04-05,1312,N,n,240.91,3.67,2
-77.527672,167.169464,336.46,0.42,0.38,2012-04-06,613,N,n,241.92,7,2
-77.524361,167.173264,324.6,0.5,0.41,2012-04-06,753,N,n,242.45,6.3,2
-77.527885,167.168274,326.38,0.38,0.36,2012-04-06,1113,N,n,246.7,9.92,2
-70.608208,151.583954,324.72,0.45,0.39,2012-04-06,1252,N,n,231.37,0.01,0
-77.525436,167.171082,327.01,0.53,0.42,2012-04-06,1254,N,n,243.72,9.53,2
-77.52668,167.160034,327.78,0.4,0.37,2012-04-07,554,N,n,244.36,6.48,2
-77.524445,167.172256,324.56,0.49,0.4,2012-04-07,734,N,n,241.16,6.1,2
-77.526016,167.168777,328.04,0.48,0.4,2012-04-07,914,N,n,242.07,8.94,2
-71.70681,114.275307,335.85,0.45,0.47,2012-04-07,918,N,n,219.95,0.02,0
-77.526321,167.161972,341.54,0.39,0.36,2012-04-07,1054,N,n,245.37,11.3,2
-77.527252,167.157822,324.29,0.47,0.4,2012-04-07,1235,N,n,236.74,6.78,2
-77.526764,167.178802,323.64,0.34,0.56,2012-04-07,1416,N,n,239.3,3.2,2
-77.528084,167.173218,334.74,0.39,0.36,2012-04-08,535,N,n,241.93,8.64,2
-77.527489,167.159561,324.47,0.39,0.36,2012-04-08,535,N,n,235.67,2.91,2
-77.52494,167.162262,339.56,0.48,0.4,2012-04-08,715,N,n,238.99,10.45,2
-77.525421,167.176163,327.47,0.49,0.4,2012-04-08,855,N,n,241.34,11.3,2
-77.526306,167.154602,325.83,0.4,0.37,2012-04-08,1035,N,n,236.45,4.5,2
-77.524368,167.16803,327.07,0.4,0.37,2012-04-08,1035,N,n,239.39,6.15,2
-77.528748,167.167313,327.15,0.43,0.38,2012-04-08,1216,N,n,237.89,4.67,2
-77.525612,167.175446,329.03,0.43,0.38,2012-04-08,1216,N,n,237.2,5.03,2
-77.527718,167.166687,335.86,0.57,0.52,2012-04-08,1357,N,n,236.91,7.48,2
-77.527977,167.162643,327.31,0.38,0.36,2012-04-09,516,N,n,245.2,6.15,2
-77.525574,167.169617,340.61,0.46,0.39,2012-04-09,656,N,n,240.31,9.65,2
-77.523743,167.172134,324.51,0.5,0.41,2012-04-09,836,N,n,238.41,6.35,2
-77.527481,167.15741,331.29,0.42,0.38,2012-04-09,1016,N,n,237.24,5.14,2
-77.525757,167.171783,341.29,0.42,0.38,2012-04-09,1016,N,n,238.48,9.61,2
-77.528702,167.170395,321.67,0.4,0.37,2012-04-09,1157,N,n,239.81,7.69,2
-77.528099,167.166046,335.85,0.49,0.48,2012-04-09,1338,N,n,235.92,4.97,2
-77.52784,167.158737,327.09,0.39,0.36,2012-04-10,457,N,n,239.27,3,2
-77.524078,167.16333,324.61,0.44,0.39,2012-04-10,638,N,n,233.81,3.94,2
-77.525505,167.178864,324.48,0.44,0.39,2012-04-10,638,N,n,231.74,3.94,2
-77.52549,167.162231,339.91,0.44,0.38,2012-04-10,958,N,n,238.82,13.86,2
-77.527039,167.164764,329.8,0.39,0.36,2012-04-10,1138,N,n,241.26,9.68,2
-77.527077,167.174561,336.2,0.42,0.45,2012-04-10,1319,N,n,238.67,7.28,2
